Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PLAN,Anaplan Inc. Common Stock,$77.54,-2.57,-3.208%,11002307386.00,United States,2018,2723767,Technology,Computer Software: Prepackaged Software
PLTK,Playtika Holding Corp. Common Stock,$31.50,0.49,1.58%,12901949550.00,Israel,2021,2253900,Technology,EDP Services
PLTR,Palantir Technologies Inc. Class A Common Stock,$26.75,-1.25,-4.464%,50234728321.00,,2020,145289437,Technology,Computer Software: Prepackaged Software
PTC,PTC Inc. Common Stock,$140.13,-2.82,-1.973%,16368643874.00,United States,,761812,Technology,Computer Software: Prepackaged Software
QCOM,QUALCOMM Incorporated Common Stock,$137.12,-2.34,-1.678%,155768320000.00,United States,1991,14425295,Technology,Radio And Television Broadcasting And Communications Equipment
QRVO,Qorvo Inc. Common Stock,$172.22,-0.06,-0.035%,19506103400.00,United States,,1853722,Technology,Semiconductors
RNG,RingCentral Inc. Class A Common Stock,$390.71,-8.17,-2.048%,35020004242.00,,2013,1150958,Technology,EDP Services
SAP,SAP  SE ADS,$124.86,-0.87,-0.692%,149039123767.00,Germany,,1393460,Technology,Computer Software: Prepackaged Software
SEDG,SolarEdge Technologies Inc. Common Stock,$295.58,6.88,2.383%,15246477209.00,Israel,2015,1392424,Technology,Semiconductors
SHOP,Shopify Inc. Class A Subordinate Voting Shares,$1300.24,-81.06,-5.868%,159316939229.00,Canada,2015,3448792,Technology,Computer Software: Prepackaged Software
SNAP,Snap Inc. Class A Common Stock,$70.45,7.04,11.102%,106260020252.00,United States,2017,76106349,Technology,Computer Software: Programming Data Processing
SNOW,Snowflake Inc. Class A Common Stock,$269.08,-0.57,-0.211%,76176548000.00,United States,2020,4018270,Technology,Computer Software: Prepackaged Software
SNPS,Synopsys Inc. Common Stock,$253.21,-1.48,-0.581%,38580088440.00,United States,1992,1567157,Technology,Computer Software: Prepackaged Software
SPLK,Splunk Inc. Common Stock,$153.80,-7.02,-4.365%,24872665346.00,United States,2012,3870455,Technology,Computer Software: Prepackaged Software
SQ,Square Inc. Class A Common Stock,$256.59,-11.49,-4.286%,115705873512.00,United States,2015,18971868,Technology,Computer Software: Prepackaged Software
SSNC,SS&C Technologies Holdings Inc. Common Stock,$67.46,0.50,0.747%,17267375222.00,United States,2010,2313987,Technology,Computer Software: Prepackaged Software
STM,STMicroelectronics N.V. Common Stock,$40.08,-0.54,-1.329%,36207639738.00,Switzerland,,3290125,Technology,Semiconductors
STNE,StoneCo Ltd. Class A Common Shares,$88.19,0.63,0.72%,27179414470.00,Brazil,2018,2325745,Technology,EDP Services
STX,Seagate Technology PLC Ordinary Shares (Ireland),$72.21,-1.27,-1.728%,17090811336.00,Ireland,2002,3032080,Technology,Electronic Components
SWKS,Skyworks Solutions Inc. Common Stock,$183.75,-0.18,-0.098%,30300378124.00,United States,,2556392,Technology,Semiconductors
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$241.46,0.45,0.187%,60379914984.00,United Kingdom,2015,2619550,Technology,Computer Software: Prepackaged Software
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$129.04,-0.89,-0.685%,42697886107.00,Switzerland,,2080227,Technology,Electronic Components
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$129.10,-4.47,-3.347%,669512600000.00,Taiwan,1997,18444734,Technology,Semiconductors
TTD,The Trade Desk Inc. Class A Common Stock,$791.09,-54.13,-6.404%,37481548332.00,United States,2016,1483371,Technology,Computer Software: Programming Data Processing
TTWO,Take-Two Interactive Software Inc. Common Stock,$185.95,-3.90,-2.054%,21417284018.00,United States,1997,2062576,Technology,Computer Software: Prepackaged Software
TWLO,Twilio Inc. Class A Common Stock,$410.59,1.38,0.337%,65892196395.00,United States,2016,4417204,Technology,Computer Software: Prepackaged Software
TWTR,Twitter Inc. Common Stock,$73.17,2.68,3.802%,58400817547.00,,2013,32669478,Technology,Computer Software: Programming Data Processing
TXN,Texas Instruments Incorporated Common Stock,$172.85,-0.24,-0.139%,159063344164.00,United States,,6514423,Technology,Semiconductors
TYL,Tyler Technologies Inc. Common Stock,$462.12,2.50,0.544%,18635879967.00,United States,,265009,Technology,Computer Software: Prepackaged Software
U,Unity Software Inc. Common Stock,$110.61,-4.85,-4.201%,30255927570.00,United States,2020,11523929,Technology,Computer Software: Prepackaged Software
UI,Ubiquiti Inc. Common Stock,$327.74,-8.03,-2.392%,20585081309.00,United States,,150668,Technology,Radio And Television Broadcasting And Communications Equipment
UMC,United Microelectronics Corporation (NEW) Common Stock,$9.81,-0.10,-1.009%,24371964000.00,Taiwan,,10711986,Technology,Semiconductors
URI,United Rentals Inc. Common Stock,$306.36,7.87,2.637%,22118970195.00,United States,1997,1292906,Technology,Diversified Commercial Services
VEEV,Veeva Systems Inc. Class A Common Stock,$291.00,-2.11,-0.72%,44076485817.00,,2013,1285773,Technology,Computer Software: Prepackaged Software
VMW,Vmware Inc. Common stock Class A,$144.18,0.31,0.215%,60523587715.00,United States,2007,1143520,Technology,Computer Software: Prepackaged Software
VRSK,Verisk Analytics Inc. Common Stock,$185.36,-0.88,-0.473%,30137644772.00,United States,2009,1551612,Technology,EDP Services
VRSN,VeriSign Inc. Common Stock,$192.06,-1.17,-0.605%,21793048200.00,United States,1998,788520,Technology,EDP Services
WB,Weibo Corporation American Depositary Share,$59.11,0.81,1.389%,13386168820.00,China,2014,1558782,Technology,Computer Software: Programming Data Processing
WDAY,Workday Inc. Class A Common Stock,$261.73,-8.22,-3.045%,62815200000.00,United States,,1943625,Technology,EDP Services
WDC,Western Digital Corporation Common Stock,$67.15,-0.71,-1.046%,20554425570.00,United States,,4413488,Technology,Electronic Components
WIT,Wipro Limited Common Stock,$6.30,-0.14,-2.174%,34387239033.00,India,,3050748,Technology,EDP Services
WIX,Wix.com Ltd. Ordinary Shares,$339.11,3.28,0.977%,18868169247.00,Israel,2013,1195299,Technology,Computer Software: Programming Data Processing
WORK,Slack Technologies Inc. Class A Common Stock,$42.42,-0.44,-1.027%,24607781085.00,,2019,5171582,Technology,Computer Software: Prepackaged Software
WPP,WPP plc American Depositary Shares,$61.13,0.95,1.579%,14980910744.00,Ireland,,102462,Technology,Advertising
XLNX,Xilinx Inc. Common Stock,$130.35,-0.94,-0.716%,31971856950.00,United States,1990,2868219,Technology,Semiconductors
